Store:

  Counters: 5
  Customers: 208
  Arrival rate: 200 customers per hour.
  Purchases per customer: 1 to 20

Average wait time: 32.3942
Average unhappiness: 2356.15


ID,Counter_Used,Arrival,Basket_Size,Queue_Time,Unhappiness

1,0,0,8,0,0
2,1,14,16,0,0
3,2,21,13,0,0
4,3,56,17,0,0
5,0,60,7,0,0
6,0,126,2,0,0
7,1,150,12,0,0
8,2,152,11,0,0
9,0,174,20,0,0
10,3,180,9,0,0
11,4,211,15,0,0
12,1,252,2,0,0
13,0,312,16,0,0
14,1,331,9,0,0
15,2,340,5,0,0
16,2,387,9,0,0
17,1,398,5,0,0
18,3,410,3,0,0
19,0,420,14,0,0
20,4,427,15,0,0
21,1,442,5,1,1
22,2,473,17,0,0
23,3,478,1,0,0
24,1,504,19,0,0
25,0,532,18,0,0
26,3,567,16,0,0
27,2,582,15,0,0
28,4,591,15,0,0
29,1,599,14,20,400
30,0,609,4,33,1089
31,3,614,13,53,2809
32,2,616,18,61,3721
33,0,636,20,46,2116
34,4,678,2,8,64
35,1,694,6,15,225
36,4,696,4,20,400
37,3,710,3,42,1764
38,4,737,4,19,361
39,1,746,3,13,169
40,2,747,1,40,1600
41,3,749,15,38,1444
42,1,752,10,42,1764
43,4,756,8,40,1600
44,0,812,16,0,0
45,2,813,11,0,0
46,4,820,3,36,1296
47,1,834,5,30,900
48,3,855,14,27,729
49,2,886,10,2,4
50,4,889,1,2,4
51,1,911,11,0,0
52,0,914,18,0,0
53,4,922,4,0,0
54,2,923,5,35,1225
55,4,929,14,33,1089
56,3,946,20,26,676
57,1,958,7,28,784
58,2,980,17,23,529
59,0,990,6,34,1156
60,1,992,12,49,2401
61,4,1001,10,51,2601
62,0,1015,13,59,3481
63,3,1031,16,61,3721
64,2,1045,10,63,3969
65,1,1051,16,70,4900
66,4,1052,2,70,4900
67,4,1065,16,87,7569
68,0,1069,5,90,8100
69,2,1076,4,102,10404
70,3,1084,14,108,11664
71,0,1114,12,90,8100
72,2,1123,10,95,9025
73,1,1150,5,71,5041
74,4,1154,13,98,9604
75,1,1165,2,101,10201
76,3,1166,13,116,13456
77,0,1181,6,103,10609
78,2,1244,10,44,1936
79,1,1245,6,51,2601
80,0,1258,5,76,5776
81,4,1259,11,78,6084
82,1,1273,9,73,5329
83,2,1307,14,51,2601
84,3,1316,11,51,2601
85,0,1338,1,41,1681
86,0,1357,6,47,2209
87,1,1364,15,47,2209
88,4,1379,14,33,1089
89,3,1380,18,62,3844
90,2,1389,10,59,3481
91,0,1432,3,22,484
92,0,1489,12,0,0
93,1,1509,16,0,0
94,2,1566,20,0,0
95,0,1572,9,0,0
96,3,1591,14,0,0
97,4,1592,8,0,0
98,0,1651,1,0,0
99,1,1652,8,0,0
100,4,1666,12,0,0
101,0,1669,9,7,49
102,3,1673,18,8,64
103,0,1761,16,0,0
104,1,1770,13,0,0
105,2,1775,2,0,0
106,2,1817,8,0,0
107,1,1855,19,0,0
108,0,1882,2,0,0
109,2,1892,15,0,0
110,3,1896,5,0,0
111,0,1990,20,0,0
112,1,2006,4,0,0
113,1,2056,17,0,0
114,2,2079,3,0,0
115,3,2087,11,0,0
116,4,2101,3,0,0
117,0,2162,15,0,0
118,1,2182,3,0,0
119,2,2197,10,0,0
120,1,2252,4,0,0
121,3,2256,2,0,0
122,0,2265,2,0,0
123,2,2267,1,0,0
124,0,2295,2,0,0
125,1,2312,9,0,0
126,2,2317,16,0,0
127,3,2323,12,0,0
128,0,2347,20,0,0
129,4,2350,19,0,0
130,1,2356,19,21,441
131,3,2359,10,44,1936
132,2,2386,6,31,961
133,4,2413,1,52,2704
134,0,2425,13,42,1764
135,2,2432,19,35,1225
136,3,2439,3,34,1156
137,4,2451,19,39,1521
138,1,2461,16,31,961
139,3,2470,17,38,1444
140,0,2477,19,75,5625
141,2,2481,18,101,10201
142,1,2485,16,107,11449
143,4,2488,16,117,13689
144,3,2493,13,120,14400
145,0,2524,11,143,20449
146,1,2527,6,165,27225
147,2,2588,14,104,10816
148,3,2593,2,105,11025
149,4,2609,14,96,9216
150,3,2623,2,105,11025
151,0,2652,7,90,8100
152,1,2665,7,77,5929
153,3,2668,18,90,8100
154,2,2703,1,79,6241
155,4,2721,6,74,5476
156,0,2732,4,65,4225
157,1,2756,2,41,1681
158,2,2789,14,18,324
159,1,2828,10,0,0
160,0,2882,17,0,0
161,1,2912,9,0,0
162,2,2917,14,0,0
163,3,2962,6,0,0
164,1,2982,5,0,0
165,0,2990,1,0,0
166,4,2994,9,0,0
167,2,2996,15,11,121
168,3,3000,20,12,144
169,0,3006,13,9,81
170,1,3034,6,0,0
171,4,3040,2,19,361
172,1,3065,2,19,361
173,0,3109,6,0,0
174,1,3128,14,0,0
175,0,3179,2,0,0
176,2,3188,12,0,0
177,3,3196,13,0,0
178,4,3201,9,0,0
179,0,3204,9,5,25
180,1,3223,15,0,0
181,4,3226,11,40,1600
182,2,3237,9,31,961
183,0,3244,18,30,900
184,3,3245,5,36,1296
185,1,3246,4,72,5184
186,3,3249,13,77,5929
187,2,3256,15,77,5929
188,4,3284,7,57,3249
189,1,3315,3,43,1849
190,0,3341,18,43,1849
191,1,3344,14,49,2401
192,4,3349,6,47,2209
193,3,3354,7,57,3249
194,2,3366,6,62,3844
195,4,3405,9,41,1681
196,3,3409,20,57,3249
197,2,3413,18,65,4225
198,1,3430,9,53,2809
199,0,3448,16,46,2116
200,4,3469,14,42,1764
201,1,3488,8,60,3600
202,3,3489,13,97,9409
203,2,3533,17,55,3025
204,0,3552,17,42,1764
205,4,3554,11,47,2209
206,1,3563,1,45,2025
207,1,3564,5,69,4761
208,3,3588,15,83,6889
